Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
6016,6190,6123,4161,,,342,377,364,179
6335,6533,6444,4429,,,319,343,321,268
6693,6917,6856,4684,,,358,384,412,255
7091,7274,7215,5005,,,398,357,359,321
7501,7578,7599,5197,,,410,304,384,192
7835,7993,8004,5506,,,334,415,405,309
8203,8391,8298,5769,,,368,398,294,263
8573,8764,8665,5909,,,370,373,367,140
8888,9150,9090,6212,,,315,386,425,303
Starting Round 19,,,,,,,,,
424,351,364,295,,,424,351,364,295
842,707,801,660,,,418,356,437,365
1198,1139,1117,1030,,,356,432,316,370
1576,1568,1516,1357,,,378,429,399,327
1966,1937,1958,1648,,,390,369,442,291
2361,2312,2374,1986,,,395,375,416,338
2792,2681,2797,2228,,,431,369,423,242
3229,3104,3225,2561,,,437,423,428,333
3644,3527,3594,2779,,,415,423,369,218
4013,3967,4024,3061,,,369,440,430,282
4398,4397,4465,3371,,,385,430,441,310
4786,4806,4905,3632,,,388,409,440,261
5214,5266,5208,3876,,,428,460,303,244
5656,5681,5630,4121,,,442,415,422,245
6049,6109,5941,4368,,,393,428,311,247
6406,6523,6330,4559,,,357,414,389,191
6823,6897,6668,4656,,,417,374,338,97
7231,7255,7092,4892,,,408,358,424,236
7599,7627,7485,5194,,,368,372,393,302
8031,8017,7831,5452,,,432,390,346,258
8439,8422,8142,5703,,,408,405,311,251
8816,8787,8523,5943,,,377,365,381,240
9216,9195,8969,6221,,,400,408,446,278
9553,9655,9401,6477,,,337,460,432,256
Starting Round 20,,,,,,,,,
365,357,348,305,,,365,357,348,305
779,742,717,615,,,414,385,369,310
1183,1156,1071,864,,,404,414,354,249
1536,1574,1418,1156,,,353,418,347,292
1889,1899,1809,1405,,,353,325,391,249
2252,2227,2200,1710,,,363,328,391,305
2673,2569,2542,1983,,,421,342,342,273
3047,2932,2891,2215,,,374,363,349,232
3394,3351,3240,2427,,,347,419,349,212
3736,3763,3637,2670,,,342,412,397,243
4081,4122,4060,2926,,,345,359,423,256
4444,4467,4472,3147,,,363,345,412,221
4862,4870,4844,3425,,,418,403,372,278
5262,5218,5208,3649,,,400,348,364,224
5634,5636,5607,3860,,,372,418,399,211
6002,6039,5968,4026,,,368,403,361,166
6355,6405,6389,4309,,,353,366,421,283
6693,6718,6812,4436,,,338,313,423,127
7006,7073,7180,4725,,,313,355,368,289
7324,7435,7518,5006,,,318,362,338,281
7641,7804,7878,5333,,,317,369,360,327
8040,8145,8202,5645,,,399,341,324,312
8398,8497,8559,5904,,,358,352,357,259
8746,8882,8888,6214,,,348,385,329,310
Starting Round 21,,,,,,,,,
336,410,369,131,,,336,410,369,131
672,808,720,273,,,336,398,351,142
1060,1142,1142,425,,,388,334,422,152
1422,1472,1516,614,,,362,330,374,189
1792,1874,1861,809,,,370,402,345,195
2194,2221,2206,989,,,402,347,345,180
2484,2597,2486,1258,,,290,376,280,269
2810,2846,2856,1526,,,326,249,370,268
3072,3172,3234,1782,,,262,326,378,256
3451,3502,3540,2102,,,379,330,306,320
3828,3801,3845,2369,,,377,299,305,267
4137,4216,4177,2719,,,309,415,332,350
4491,4636,4481,2880,,,354,420,304,161
4855,4940,4844,3023,,,364,304,363,143
5155,5304,5261,3268,,,300,364,417,245
5575,5630,5567,3461,,,420,326,306,193
5992,5912,5919,3610,,,417,282,352,149
6301,6285,6251,3870,,,309,373,332,260
6718,6668,6562,4109,,,417,383,311,239
7093,6937,6963,4297,,,375,269,401,188
7384,7291,7312,4554,,,291,354,349,257
7783,7730,7584,4792,,,399,439,272,238
8141,8032,8010,5013,,,358,302,426,221
8496,8394,8374,5189,,,355,362,364,176
Starting Round 22,,,,,,,,,
400,447,403,229,,,400,447,403,229
788,847,849,408,,,388,400,446,179
1188,1296,1296,573,,,400,449,447,165
1626,1745,1716,747,,,438,449,420,174
2052,2167,2155,974,,,426,422,439,227
2488,2584,2541,1143,,,436,417,386,169
2904,3030,2772,1462,,,416,446,231,319
3320,3372,3188,1783,,,416,342,416,321
3622,3798,3634,2049,,,302,426,446,266
4051,4212,3922,2251,,,429,414,288,202
4477,4493,4372,2516,,,426,281,450,265
4819,4836,4822,2712,,,342,343,450,196
5213,5194,5091,3012,,,394,358,269,300
5607,5469,5491,3354,,,394,275,400,342
5865,5908,5907,3651,,,258,439,416,297
6243,6358,6176,3896,,,378,450,269,245
6621,6688,6611,4163,,,378,330,435,267
6933,7081,7061,4458,,,312,393,450,295
7361,7513,7292,4641,,,428,432,231,183
7807,7766,7716,4800,,,446,253,424,159
8057,8212,8112,5081,,,250,446,396,281
8398,8641,8451,5313,,,341,429,339,232
8768,8950,8851,5493,,,370,309,400,180
9076,9332,9288,5662,,,308,382,437,169
Starting Round 23,,,,,,,,,
337,361,322,255,,,337,361,322,255
727,750,614,453,,,390,389,292,198
1116,1120,948,719,,,389,370,334,266
1465,1491,1361,960,,,349,371,413,241
1815,1904,1733,1175,,,350,413,372,215
2203,2242,2136,1407,,,388,338,403,232
2615,2592,2468,1723,,,412,350,332,316
2981,2918,2806,2073,,,366,326,338,350
3365,3302,3155,2411,,,384,384,349,338
3703,3701,3489,2597,,,338,399,334,186
4041,4020,3881,2906,,,338,319,392,309
4382,4358,4280,3211,,,341,338,399,305
4772,4761,4667,3429,,,390,403,387,218
5175,5088,5073,3722,,,403,327,406,293
5552,5489,5451,3880,,,377,401,378,158
5963,5873,5778,4143,,,411,384,327,263
6355,6200,6160,4276,,,392,327,382,133
6682,6525,6542,4473,,,327,325,382,197
7031,6935,6933,4636,,,349,410,391,163
7373,7335,7271,4881,,,342,400,338,245
7719,7668,7676,5146,,,346,333,405,265
8119,8017,7995,5448,,,400,349,319,302
8487,8405,8307,5609,,,368,388,312,161
8878,8782,8648,5795,,,391,377,341,186
Starting Round 24,,,,,,,,,
364,449,449,305,,,364,449,449,305
729,884,818,592,,,365,435,369,287
1178,1214,1267,789,,,449,330,449,197
1609,1567,1718,1031,,,431,353,451,242
1991,2030,2088,1222,,,382,463,370,191
2440,2463,2458,1483,,,449,433,370,261
2804,2855,2810,1740,,,364,392,352,257
3152,3217,3196,2084,,,348,362,386,344
3520,3581,3626,2493,,,368,364,430,409
3900,3945,4036,2833,,,380,364,410,340
4226,4356,4360,3120,,,326,411,324,287
4635,4792,4724,3504,,,409,436,364,384
4958,5197,5072,3811,,,323,405,348,307
5322,5537,5475,3993,,,364,340,403,182
5683,5870,5926,4244,,,361,333,451,251
6094,6218,6292,4514,,,411,348,366,270
6520,6557,6656,4734,,,426,339,364,220
6881,7020,6975,4986,,,361,463,319,252
7265,7472,7325,5241,,,384,452,350,255
7683,7835,7776,5428,,,418,363,451,187
8050,8248,8239,5632,,,367,413,463,204
8440,8678,8577,5724,,,390,430,338,92
8847,9023,8929,5778,,,407,345,352,54
9197,9467,9284,5915,,,350,444,355,137
Starting Round 25,,,,,,,,,
