Greedy, UCT, KthBestPick, Random
17347, 17413, 17921, 10778
18539, 18612, 19055, 11561
19651, 19820, 20254, 12375
20878, 20924, 21482, 12980
21970, 22144, 22692, 13727
23031, 23300, 23948, 14432
24178, 24428, 25107, 15164
25393, 25523, 26361, 16071
26612, 26675, 27480, 16839
27821, 27867, 28686, 17498
Starting Round 23
1175, 1064, 1191, 748
2325, 2194, 2421, 1505
3440, 3283, 3600, 2191
4538, 4450, 4764, 2804
5697, 5588, 5993, 3426
6870, 6788, 7195, 4225
7993, 7910, 8322, 5039
9173, 9014, 9581, 5702
10258, 10162, 10754, 6400
11346, 11265, 11885, 6898
12511, 12321, 13108, 7710
13600, 13403, 14301, 8465
14726, 14574, 15427, 9285
15849, 15615, 16627, 9956
16825, 16758, 17837, 10604
17995, 17900, 18859, 11316
19125, 19004, 20001, 11945
20202, 20174, 21193, 12632
21357, 21304, 22301, 13142
22498, 22444, 23414, 13810
23611, 23624, 24659, 14551
24804, 24864, 25844, 15264
25935, 25968, 26999, 15933
27044, 27064, 28183, 16637
Starting Round 24
1111, 1192, 1129, 852
2316, 2290, 2383, 1732
3393, 3433, 3641, 2780
4569, 4595, 4775, 3717
5768, 5694, 6012, 4640
6884, 6823, 7219, 5434
8010, 8014, 8530, 6115
9166, 9254, 9779, 6834
10434, 10379, 11012, 7593
11673, 11523, 12332, 8388
12837, 12826, 13490, 9065
14069, 14022, 14636, 9871
15282, 15231, 15825, 10720
16442, 16492, 17054, 11509
17675, 17707, 18181, 12382
18854, 18836, 19446, 13193
20044, 20119, 20579, 14161
21361, 21307, 21787, 14930
22551, 22452, 23065, 15745
23759, 23752, 24249, 16450
25064, 25001, 25389, 17218
26256, 26190, 26735, 18017
27403, 27506, 27961, 18847
28693, 28701, 29195, 19564
Starting Round 25
