Greedy, UCT, KthBestPick, Random,,,Greedy,UCT,KthBestPick,Random
4707,4925,5010,2765,,,220,246,150,109
4898,5098,5263,2935,,,191,173,253,170
5091,5306,5481,3062,,,193,208,218,127
Starting Round 21,,,,,,,,,
207,220,234,176,,,207,220,234,176
410,447,425,341,,,203,227,191,165
644,654,629,519,,,234,207,204,178
848,863,896,710,,,204,209,267,191
1035,1081,1097,847,,,187,218,201,137
1262,1301,1306,1026,,,227,220,209,179
1471,1505,1495,1161,,,209,204,189,135
1692,1686,1722,1355,,,221,181,227,194
1913,1907,1949,1528,,,221,221,227,173
2149,2127,2172,1712,,,236,220,223,184
2376,2326,2393,1854,,,227,199,221,142
2587,2546,2614,1997,,,211,220,221,143
2808,2821,2755,2145,,,221,275,141,148
3034,3011,3036,2238,,,226,190,281,93
3224,3232,3317,2418,,,190,221,281,180
3457,3453,3511,2556,,,233,221,194,138
3698,3643,3737,2636,,,241,190,226,80
3863,3884,3963,2716,,,165,241,226,80
4057,4145,4116,2833,,,194,261,153,117
4270,4336,4367,2984,,,213,191,251,151
4461,4572,4634,3176,,,191,236,267,192
4728,4749,4789,3282,,,267,177,155,106
4962,4940,5025,3502,,,234,191,236,220
5153,5207,5238,3710,,,191,267,213,208
Starting Round 22,,,,,,,,,
257,229,281,135,,,257,229,281,135
504,510,511,212,,,247,281,230,77
789,782,718,278,,,285,272,207,66
1023,1045,994,342,,,234,263,276,64
1253,1294,1275,511,,,230,249,281,169
1499,1524,1539,672,,,246,230,264,161
1780,1731,1727,867,,,281,207,188,195
2061,1934,1936,1114,,,281,203,209,247
2238,2215,2123,1360,,,177,281,187,246
2450,2496,2290,1548,,,212,281,167,188
2682,2672,2571,1706,,,232,176,281,158
2886,2881,2852,1910,,,204,209,281,204
3151,3170,3029,2015,,,265,289,177,105
3416,3385,3313,2159,,,265,215,284,144
3657,3650,3604,2302,,,241,265,291,143
3935,3915,3845,2534,,,278,265,241,232
4212,4156,4126,2721,,,277,241,281,187
4416,4440,4407,2898,,,204,284,281,177
4625,4721,4518,3010,,,209,281,111,112
4837,4924,4803,3257,,,212,203,285,247
5078,5154,5088,3522,,,241,230,285,265
5356,5386,5293,3741,,,278,232,205,219
5614,5591,5523,3952,,,258,205,230,211
5768,5880,5703,4089,,,154,289,180,137
Starting Round 23,,,,,,,,,
228,239,206,62,,,228,239,206,62
411,462,445,196,,,183,223,239,134
619,690,648,265,,,208,228,203,69
852,873,902,368,,,233,183,254,103
1091,1127,1130,460,,,239,254,228,92
1311,1366,1358,579,,,220,239,228,119
1513,1556,1567,768,,,202,190,209,189
1704,1703,1800,954,,,191,147,233,186
1862,1894,2039,1068,,,158,191,239,114
2073,2096,2232,1225,,,211,202,193,157
2263,2277,2460,1445,,,190,181,228,220
2411,2467,2655,1606,,,148,190,195,161
2619,2699,2816,1777,,,208,232,161,171
2827,2922,3031,1846,,,208,223,215,69
3050,3130,3246,1915,,,223,208,215,69
3236,3338,3428,2093,,,186,208,182,178
3459,3505,3574,2164,,,223,167,146,71
3653,3737,3765,2253,,,194,232,191,89
3864,3940,3949,2351,,,211,203,184,98
4030,4109,4152,2449,,,166,169,203,98
4214,4291,4351,2506,,,184,182,199,57
4425,4512,4560,2691,,,211,221,209,185
4621,4647,4769,2831,,,196,135,209,140
4785,4858,5012,2901,,,164,211,243,70
Starting Round 24,,,,,,,,,
221,274,244,51,,,221,274,244,51
442,518,518,102,,,221,244,274,51
667,760,747,218,,,225,242,229,116
899,998,939,356,,,232,238,192,138
1173,1207,1214,407,,,274,209,275,51
1377,1481,1391,561,,,204,274,177,154
1596,1716,1587,730,,,219,235,196,169
1834,1965,1777,917,,,238,249,190,187
1994,2240,2012,1058,,,160,275,235,141
2229,2515,2139,1169,,,235,275,127,111
2421,2711,2377,1341,,,192,196,238,172
2617,2927,2589,1429,,,196,216,212,88
2799,3161,2778,1588,,,182,234,189,159
3018,3432,3015,1745,,,219,271,237,157
3272,3707,3213,1900,,,254,275,198,155
3500,3926,3402,2060,,,228,219,189,160
3656,4110,3677,2167,,,156,184,275,107
3876,4337,3889,2382,,,220,227,212,215
4094,4558,4109,2436,,,218,221,220,54
4352,4747,4353,2523,,,258,189,244,87
4572,5005,4580,2724,,,220,258,227,201
4816,5263,4800,2842,,,244,258,220,118
5060,5469,5016,2909,,,244,206,216,67
5219,5684,5251,3036,,,159,215,235,127
Starting Round 25,,,,,,,,,
